entity_name,entity_type,description,note
인력,기준,직원과 외주인력에 공통으로 적용되는 식별자와 기본정보,"직원과 외주인력의 상위 엔터티, 인력구분코드에 따라 직원 또는 외주인력 상세 중 하나만 생성, 모든 공통 참조는 인력ID 사용, 사용자 계정 참조 대상에서 제외, 첨부파일·메모는 인력 단위로만 관리"
직원,기준,인력 중 내부 직원에게만 적용되는 현재 재직정보,"인력 하위 엔터티, 인력ID 공유 PK, 입사일자·조직·직위·재직상태 관리, BMS 사용자 계정은 내부 직원만 선택적으로 참조"
외주인력,기준,인력 중 외부 인력에게만 적용되는 업체 소속 및 계약정보,"인력 하위 엔터티, 인력ID 공유 PK, 협력업체·외주계약 정보 관리, BMS 사용자 계정 생성 및 연결 불가"
협력업체,기준,외주인력이 소속되는 법인 또는 개인사업자 정보,"인력과 분리 관리, 하나의 협력업체에 여러 외주인력 소속 가능"
인력근무경력,이력,인력의 과거 회사 근무 및 담당업무 이력,"인력ID와 인력근무경력순번을 복합 PK로 사용, 현재 직원 재직정보와 분리, 인력 하위 데이터로만 관리하여 독립 첨부파일·메모 대상에서 제외"
인력학력,이력,인력의 학교·학과·수학기간·학위 정보,"인력ID와 인력학력순번을 복합 PK로 사용, 직원과 외주인력 공통 하위 엔터티, 인력 하위 데이터로만 관리하여 독립 첨부파일·메모 대상에서 제외"
인력교육,이력,인력이 이수한 교육과정·교육기관·교육기간 및 수료 정보,"인력ID와 인력교육순번을 복합 PK로 사용, 직원과 외주인력 공통 하위 엔터티, 인력 하위 데이터로만 관리하여 독립 첨부파일·메모 대상에서 제외"
인력상훈,이력,인력이 수여받은 상훈의 종류·상훈기관·수여일 및 근거 정보,"인력ID와 인력상훈순번을 복합 PK로 사용, 직원과 외주인력 공통 하위 엔터티, 인력 하위 데이터로만 관리하여 독립 첨부파일·메모 대상에서 제외"
인력기술자격,이력,인력이 취득한 기술자격의 종목·등록번호·취득일·발급기관 정보,"인력ID와 인력기술자격순번을 복합 PK로 사용, 자격 기준정보 연계 없이 직접 입력, 인력 하위 데이터로만 관리하여 독립 첨부파일·메모 대상에서 제외"
인력기술경력,이력,인력이 사업에 참여한 기간·발주사·소속사·직위 및 담당업무 경력정보,"인력ID와 인력기술경력순번을 복합 PK로 사용, BMS 프로젝트는 인력투입 참조 또는 조회로 산출, 외부 경력은 직접 등록하여 중복 저장 방지"
인력단가,이력,인력별 기준연월 및 월·일 단가 정보,"직원과 외주인력 공통 적용, 인력ID와 기준연월 조합은 유일"
인력투입,업무,프로젝트별 인력 투입기간과 역할 정보,"프로젝트관리에서 제공하는 최소 프로젝트 기준정보를 프로젝트ID 필수 FK로 참조, 직원·외주인력 구분 없이 인력ID 참조, 동일 프로젝트·인력의 투입기간 중복 금지, 서로 다른 프로젝트의 동시 투입은 허용하되 월별 총투입률 상한 적용"
인력월별투입실적,업무,인력투입 건의 월별 계획·실적 투입률과 투입MM 정보,"인력투입 하위 엔터티, 인력투입ID와 기준연월 조합은 유일"
