entity_name,entity_type,description,note
사업공고,업무,수동 등록 및 외부시스템 자동수집 사업공고의 통합 정보,"최초 공고와 재공고를 별도 행으로 관리하고 원공고ID로 연결하며 입찰공고번호와 차수로 외부 공고 중복 방지"
사업공고수집조건,기준,발주기관과 키워드 및 업무구분별 사업공고 자동수집 조건,
사업공고수집대상기관,관계,수집조건별 대상 발주기관 정보,
사업공고수집키워드,관계,수집조건별 포함 및 제외 키워드 정보,
사업공고수집이력,이력,사업공고 수집 실행 단위의 처리 결과와 재처리 상태,
사업공고수집원문,이력,외부 API에서 수집한 변경 불가 응답 원문과 해시,"연계 결과 및 사업공고 반영 처리와 분리하여 보존"
사업공고연계수신,이력,조달청 OpenAPI 응답 항목과 검증·사업공고 반영·재처리 결과,"외부 응답 필드는 표준단어·표준용어 적용 예외로 원본 명칭 보존"
사업공고영업기회연계,관계,사업공고를 영업기회로 전환하거나 동일 영업기회의 재공고로 연결한 감사 정보,"공고별 중복 연결을 방지하고 하나의 영업기회에 여러 공고 연결 허용"
영업기회,업무,최초 공고부터 재공고와 최종 수주까지 이어지는 영업 단위,사업공고 없이 직접 등록하는 영업기회 허용
사업성분석,업무,"영업기회별 예상매출, 예상원가, 예상손익 분석",영업기회별 최대 한 건
제안,업무,공고별 한 번 제출하는 제안 정보,"동일 공고 내 제안 버전과 수정이력은 관리하지 않고 재공고에는 새 제안 등록"
수주,업무,최종 제안의 수주 여부 및 수주 결과,"제안별 최대 한 건이며 영업기회는 제안과 공고를 통해 조회"
