relation_expression,description
사용자 1 : N 사용자역할,하나의 사용자는 여러 역할을 부여받을 수 있다.
역할 1 : N 사용자역할,하나의 역할은 여러 사용자에게 부여될 수 있다.
사용자 N : M 역할,사용자와 역할의 다대다 관계는 사용자역할 엔터티로 해소한다.
역할 1 : N 역할메뉴권한,하나의 역할은 여러 메뉴에 대한 접근권한을 가질 수 있다.
메뉴 1 : N 역할메뉴권한,하나의 메뉴는 여러 역할에 부여될 수 있다.
역할 N : M 메뉴,역할과 메뉴의 다대다 관계는 역할메뉴권한 엔터티로 해소한다.
메뉴 1 : N 하위메뉴,"하나의 메뉴는 여러 하위메뉴를 가질 수 있으며, 최상위 메뉴는 상위메뉴를 가지지 않는다."
조직 1 : N 하위조직,"하나의 조직은 여러 하위조직을 가질 수 있으며, 최상위 조직은 상위조직을 가지지 않는다."
코드그룹 1 : N 공통코드,하나의 코드그룹은 여러 공통코드를 가질 수 있다.
사용자 1 : N 접속로그,하나의 사용자는 여러 접속로그를 가질 수 있으며 미인증 접속로그는 사용자를 참조하지 않을 수 있다.
사용자 1 : N 시스템로그,하나의 사용자는 여러 시스템로그와 연관될 수 있으며 시스템 처리 로그는 사용자를 참조하지 않을 수 있다.
외부시스템연계설정 1 : N API호출로그,하나의 외부시스템 연계설정으로 여러 API 호출이 발생할 수 있다.
